# VG;DATA INICIO OP.;TIPO TRUQUE;TIPO RODA;PAD?;PROC. FAB. RODA;DUR. RODA [HB];DATA MED.;KM;CLASSE VIDA ARO;TAPE INI.;TROCA ROD?;POS. ROR.;"ID (""CPF"") PL"
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;352;43595;363384;NOVA;240;NÃO;4L;43595_HPT_0319503_4L
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43595;363384;NOVA;240;NÃO;3L;43595_HPT_0319503_3L
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;363384;NOVA;240;NÃO;2L;43595_HPT_0319503_2L
HPT 031950-3;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;366;43595;363384;NOVA;240;NÃO;1L;43595_HPT_0319503_1L
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;398582;NOVA;241;NÃO;1R;43594_HPT_0319228_1R
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;375;43594;398582;NOVA;241;NÃO;2R;43594_HPT_0319228_2R
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;398582;NOVA;242;NÃO;3R;43594_HPT_0319228_3R
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43594;398582;NOVA;242;NÃO;4R;43594_HPT_0319228_4R
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;345;43594;398582;NOVA;242;NÃO;4L;43594_HPT_0319228_4L
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;398582;NOVA;242;NÃO;3L;43594_HPT_0319228_3L
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43594;398582;NOVA;241;NÃO;2L;43594_HPT_0319228_2L
HPT 031922-8;42237;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;371;43594;398582;NOVA;241;NÃO;1L;43594_HPT_0319228_1L
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;342;43594;394876;NOVA;242;NÃO;1R;43594_HPT_0318710_1R
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;355;43594;394876;NOVA;242;NÃO;2R;43594_HPT_0318710_2R
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;349;43594;394876;NOVA;242;NÃO;3R;43594_HPT_0318710_3R
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;343;43594;394876;NOVA;242;NÃO;4R;43594_HPT_0318710_4R
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;355;43594;394876;NOVA;242;NÃO;4L;43594_HPT_0318710_4L
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;342;43594;394876;NOVA;242;NÃO;3L;43594_HPT_0318710_3L
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;358;43594;394876;NOVA;242;NÃO;2L;43594_HPT_0318710_2L
HPT 031871-0;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;345;43594;394876;NOVA;242;NÃO;1L;43594_HPT_0318710_1L
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43594;315225;NOVA;242;NÃO;1R;43594_HPT_0318761_1R
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43594;315225;NOVA;242;NÃO;2R;43594_HPT_0318761_2R
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;345;43594;315225;NOVA;241;NÃO;3R;43594_HPT_0318761_3R
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43594;315225;NOVA;240;NÃO;4R;43594_HPT_0318761_4R
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43594;315225;NOVA;240;NÃO;4L;43594_HPT_0318761_4L
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;358;43594;315225;NOVA;241;NÃO;3L;43594_HPT_0318761_3L
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43594;315225;NOVA;242;NÃO;2L;43594_HPT_0318761_2L
HPT 031876-1;42227;Ride Master;K36;ADAPTER PLUS;FUNDIDA;358;43594;315225;NOVA;242;NÃO;1L;43594_HPT_0318761_1L
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43592;354065;NOVA;241;NÃO;1R;43592_HPT_0317781_1R
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43592;354065;NOVA;241;NÃO;2R;43592_HPT_0317781_2R
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;358;43592;354065;NOVA;241;NÃO;3R;43592_HPT_0317781_3R
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43592;354065;NOVA;241;NÃO;4R;43592_HPT_0317781_4R
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43592;354065;NOVA;241;NÃO;4L;43592_HPT_0317781_4L
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;356;43592;354065;NOVA;241;NÃO;3L;43592_HPT_0317781_3L
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43592;354065;NOVA;241;NÃO;2L;43592_HPT_0317781_2L
HPT 031778-1;42206;Ride Master;K36;ADAPTER PLUS;FUNDIDA;356;43592;354065;NOVA;241;NÃO;1L;43592_HPT_0317781_1L
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;350;43594;318516;NOVA;240;NÃO;1R;43594_HPT_0325236_1R
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;361;43594;318516;NOVA;240;NÃO;2R;43594_HPT_0325236_2R
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43594;318516;NOVA;240;NÃO;3R;43594_HPT_0325236_3R
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;378;43594;318516;NOVA;239;NÃO;4R;43594_HPT_0325236_4R
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43594;318516;NOVA;239;NÃO;4L;43594_HPT_0325236_4L
